Track_ID,Run_Date,Start_Date,End_Date,Duration,Ensemble_Name,Ensemble_Member,Object_Variable,Obs_Track_ID,Translation_Error_X,Translation_Error_Y,Start_Time_Error,End_Time_Error
d01_REFL_COM_20110428-0000_12_12_000,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 12:00:00+00:00,1.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_12_001,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 12:00:00+00:00,1.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_12_002,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 12:00:00+00:00,1.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_13_003,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 13:00:00+00:00,2.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_12_004,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 12:00:00+00:00,1.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_12_005,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 12:00:00+00:00,1.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_13_006,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 13:00:00+00:00,2.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_12_007,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 12:00:00+00:00,1.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_12_008,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 12:00:00+00:00,1.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
d01_REFL_COM_20110428-0000_12_12_009,2011-04-28 00:00:00+00:00,2011-04-28 12:00:00+00:00,2011-04-28 12:00:00+00:00,1.00000,NCARSTORM,d01,REFL_COM,nan,nan,nan,nan,nan
