Step_ID,Track_ID,Ensemble_Name,Ensemble_Member,Run_Date,Valid_Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,Centroid_X,Centroid_Y,Storm_Motion_U,Storm_Motion_V,UP_HELI_MAX_mean,UP_HELI_MAX_max,UP_HELI_MAX_min,GRPL_MAX_mean,GRPL_MAX_max,GRPL_MAX_min,WSPD10MAX_mean,WSPD10MAX_max,WSPD10MAX_min,W_UP_MAX_mean,W_UP_MAX_max,W_UP_MAX_min,W_DN_MAX_mean,W_DN_MAX_max,W_DN_MAX_min,RVORT1_MAX_mean,RVORT1_MAX_max,RVORT1_MAX_min,RVORT5_MAX_mean,RVORT5_MAX_max,RVORT5_MAX_min,UP_HELI_MAX03_mean,UP_HELI_MAX03_max,UP_HELI_MAX03_min,UP_HELI_MAX01_mean,UP_HELI_MAX01_max,UP_HELI_MAX01_min,UP_HELI_MIN_mean,UP_HELI_MIN_max,UP_HELI_MIN_min,REFL_COM_mean,REFL_COM_max,REFL_COM_min,REFL_1KM_AGL_mean,REFL_1KM_AGL_max,REFL_1KM_AGL_min,REFD_MAX_mean,REFD_MAX_max,REFD_MAX_min,PSFC_mean,PSFC_max,PSFC_min,T2_mean,T2_max,T2_min,Q2_mean,Q2_max,Q2_min,TD2_mean,TD2_max,TD2_min,U10_mean,U10_max,U10_min,V10_mean,V10_max,V10_min,SBLCL-potential_mean,SBLCL-potential_max,SBLCL-potential_min,MLLCL-potential_mean,MLLCL-potential_max,MLLCL-potential_min,SBCAPE-potential_mean,SBCAPE-potential_max,SBCAPE-potential_min,MLCAPE-potential_mean,MLCAPE-potential_max,MLCAPE-potential_min,MUCAPE-potential_mean,MUCAPE-potential_max,MUCAPE-potential_min,SBCINH-potential_mean,SBCINH-potential_max,SBCINH-potential_min,MLCINH-potential_mean,MLCINH-potential_max,MLCINH-potential_min,USHR1-potential_mean,USHR1-potential_max,USHR1-potential_min,VSHR1-potential_mean,VSHR1-potential_max,VSHR1-potential_min,USHR6-potential_mean,USHR6-potential_max,USHR6-potential_min,VSHR6-potential_mean,VSHR6-potential_max,VSHR6-potential_min,U_BUNK-potential_mean,U_BUNK-potential_max,U_BUNK-potential_min,V_BUNK-potential_mean,V_BUNK-potential_max,V_BUNK-potential_min,SRH03-potential_mean,SRH03-potential_max,SRH03-potential_min,SRH01-potential_mean,SRH01-potential_max,SRH01-potential_min,PSFC-potential_mean,PSFC-potential_max,PSFC-potential_min,T2-potential_mean,T2-potential_max,T2-potential_min,Q2-potential_mean,Q2-potential_max,Q2-potential_min,TD2-potential_mean,TD2-potential_max,TD2-potential_min,U10-potential_mean,U10-potential_max,U10-potential_min,V10-potential_mean,V10-potential_max,V10-potential_min,area,eccentricity,major_axis_length,minor_axis_length,orientation,Matched,Max_Hail_Size,Num_Matches,Shape,Location,Scale
d01_REFL_COM_20110427-0000_12_12_000_00,d01_REFL_COM_20110427-0000_12_12_000,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 12:00:00,12,12,1,-93.07239,33.72106,729842.66424,-478284.43365,0.00000,0.00000,33.23165,133.19839,0.00000,3.79639,12.02696,0.00000,7.60780,11.55605,5.21146,10.95131,25.59862,1.99554,-4.78507,-0.95485,-10.74543,0.00298,0.00809,0.00000,0.00165,0.00633,0.00000,19.08376,46.14315,0.00000,1.27753,8.02016,0.00000,-3.31726,0.00000,-30.54829,45.89288,65.87240,35.42674,40.19881,48.75768,23.98058,44.53804,49.27417,30.09336,98874.34375,99472.87500,98335.82812,289.46967,291.86823,288.44293,0.01153,0.01372,0.01111,289.00073,291.69238,288.36865,-2.76387,3.77304,-7.42041,-0.05160,6.52525,-6.70109,270.35413,407.83112,139.43086,665.51270,893.39777,401.73401,48.93731,192.59412,0.00000,163.05403,1468.60718,0.00000,2167.88257,2678.78027,258.00909,-372.92194,0.00000,-667.74921,-334.43460,0.00000,-640.80463,7.37464,18.78135,-3.37936,6.87417,22.59932,-9.78480,35.03775,43.99020,15.49273,26.15573,41.95229,18.38462,12.43639,15.06937,8.94448,10.27579,12.16567,4.87627,552.67737,877.53802,-185.12668,131.02911,643.00958,-270.68152,98646.39844,99286.35156,97971.84375,290.01089,291.79581,288.85529,0.01178,0.01323,0.01132,289.29626,291.08673,288.64618,-4.66913,-1.07733,-9.51843,2.43966,6.51753,-0.59025,222,0.96772,37.31404,9.40467,-1.06451,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_001_00,d01_REFL_COM_20110427-0000_12_12_001,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 12:00:00,12,12,1,-92.70043,34.05666,760599.39230,-438196.02025,0.00000,0.00000,60.56697,165.48181,0.77973,7.74788,20.00988,0.02475,8.80097,12.59308,5.24769,13.86336,25.71892,2.69236,-5.30834,-1.48085,-10.21917,0.00270,0.00518,0.00132,0.00137,0.00290,0.00000,21.53819,48.81085,0.76741,0.23015,2.01221,0.00000,-7.10422,0.00000,-32.09987,45.72032,66.29710,35.00602,38.20287,50.98543,0.00000,46.40631,51.67567,36.37242,98690.71875,99423.18750,97979.75781,288.99966,290.85385,288.39346,0.01112,0.01259,0.01093,288.42038,290.33878,288.14047,-3.60243,1.38316,-8.03149,2.25332,7.45013,-5.48355,277.21524,431.77612,135.36526,755.14844,1021.86279,485.42291,25.44289,91.81264,0.00000,10.62381,65.92462,0.00000,1159.48450,2386.16870,8.17258,-387.39828,0.00000,-713.01917,-258.91089,0.00000,-757.03021,9.00921,17.56283,-1.18382,-0.28081,10.66012,-9.03341,32.27407,39.86528,9.82803,27.73636,40.36870,16.61060,13.24732,17.91002,10.54988,9.83158,13.94532,5.01505,113.09747,770.17316,-336.70609,-96.53590,119.90488,-257.49005,98505.46094,99265.63281,97757.38281,289.50439,291.27161,288.75787,0.01140,0.01298,0.01100,288.77432,290.80637,288.19797,-3.18561,1.73288,-6.74949,4.05961,8.05796,-0.03312,192,0.82609,24.20477,13.64035,1.40355,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_002_00,d01_REFL_COM_20110427-0000_12_12_002,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 12:00:00,12,12,1,-93.11841,34.31229,719939.84449,-413404.91339,0.00000,0.00000,5.41717,79.91628,0.01466,5.24367,21.61988,0.62638,9.48995,13.87673,6.53615,4.41063,14.27105,1.57726,-2.98869,-1.17502,-7.01952,0.00152,0.00304,0.00033,0.00114,0.00253,0.00011,1.94679,14.74068,0.00000,0.05568,0.41011,0.00000,-3.61094,0.00000,-22.68990,41.47084,58.23217,35.02279,37.29129,47.15012,16.51806,44.62615,51.13618,38.14380,97816.64844,98707.79688,96295.17969,289.01749,292.25522,288.39447,0.01134,0.01389,0.01108,288.58456,291.78049,288.15839,-3.93396,1.09992,-10.42816,4.82371,9.15517,-0.48087,189.05853,424.08240,127.21167,589.94415,1031.21826,396.02426,33.79032,139.31178,0.00000,27.53124,156.00575,0.00000,41.60523,172.25856,0.00000,-32.32199,0.00000,-404.03693,-28.42602,0.00000,-124.21452,14.28419,21.50060,-1.42140,-4.70924,8.77034,-15.99811,20.94464,39.42326,-0.58714,24.62794,41.02860,-0.81557,16.00314,19.45434,12.14055,4.37611,7.26674,-3.52555,-130.84770,143.48911,-444.91949,11.40492,144.80519,-297.28421,97797.14844,98776.67188,96277.75781,289.23911,292.13791,288.44034,0.01150,0.01378,0.01112,288.79468,291.63495,288.20261,-1.36537,1.18466,-7.04946,4.39653,11.27277,-2.85777,152,0.96351,29.64251,7.93405,-1.30891,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_003_00,d01_REFL_COM_20110427-0000_12_12_003,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 12:00:00,12,12,1,-92.42760,33.98661,786261.12355,-443598.77731,0.00000,0.00000,34.16767,126.03976,0.21694,2.27732,12.95360,0.05237,8.11033,9.69859,7.11079,11.01772,22.72433,3.74608,-3.75715,-1.25742,-7.98696,0.00384,0.00561,0.00142,0.00084,0.00167,0.00041,22.50719,48.38544,7.68639,0.96441,1.93595,0.10859,-5.30022,0.00000,-24.77337,42.90423,58.84084,35.14365,36.92040,44.71318,27.56071,44.53874,50.22304,35.27819,98935.16406,99219.12500,98573.93750,288.71289,288.95682,288.44800,0.01094,0.01112,0.01076,288.20804,288.50436,287.96432,0.15059,4.91512,-4.22788,-0.82806,3.08991,-4.12119,332.61551,472.57263,176.43390,881.24420,1060.48950,738.84650,7.68309,38.58109,0.00000,0.99848,15.60521,0.00000,1627.52197,2156.24634,1147.96436,-202.61327,0.00000,-653.14142,-47.42815,0.00000,-621.96790,10.17912,11.98929,6.36014,-3.41614,9.97949,-7.89745,35.22758,38.96718,30.72730,26.49286,28.96543,24.71042,12.60393,14.08056,11.63215,10.22587,11.94367,8.53489,131.94785,523.99719,-157.34656,-203.80766,-20.10079,-281.15256,98726.27344,99009.98438,98268.84375,289.27655,289.76172,288.96411,0.01110,0.01156,0.01073,288.40234,289.04758,287.83792,-4.48027,-0.80257,-7.20007,4.82525,6.15765,2.94572,58,0.92384,15.27998,5.84879,-1.06035,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_004_00,d01_REFL_COM_20110427-0000_12_12_004,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 12:00:00,12,12,1,-92.57194,34.35197,769310.63316,-404548.42756,0.00000,0.00000,33.61016,101.84195,1.41493,8.27244,16.94039,1.28112,8.98738,11.82896,5.32449,9.90167,24.22539,2.15373,-4.29106,-1.78097,-7.90564,0.00172,0.00272,0.00082,0.00093,0.00184,0.00035,10.46422,31.24929,0.00000,0.02097,0.14247,0.00000,-2.87676,-0.05981,-10.15626,45.37093,60.58102,35.00779,37.40397,49.67333,23.31909,47.18591,52.67340,41.44235,98736.10938,99532.64062,97374.09375,289.14658,289.41544,288.58307,0.01129,0.01151,0.01091,288.67029,288.93909,288.24829,-3.09048,1.57717,-6.72690,4.53294,9.43658,0.92299,154.05119,288.61130,127.72002,612.16553,1008.20398,398.03513,9.65683,87.70227,0.00000,8.72036,100.89973,0.00000,243.71497,1466.46716,0.00000,-111.85226,0.00000,-928.71667,-97.95068,0.00000,-948.14484,10.72713,21.10521,3.35743,-1.61133,4.51530,-7.13456,27.29572,40.67976,16.43374,27.45480,40.44124,17.88910,13.26819,18.86107,7.32356,8.75695,12.86753,3.05951,-260.18271,73.12476,-555.46155,-67.73657,136.79688,-255.78358,98499.14062,99153.49219,97505.32031,289.16574,289.80759,288.45938,0.01135,0.01164,0.01109,288.70758,289.14755,288.24750,-4.15863,1.12473,-8.16990,5.45707,9.92368,-1.97541,160,0.87208,21.09717,10.32431,0.52961,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_005_00,d01_REFL_COM_20110427-0000_12_12_005,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 12:00:00,12,12,1,-92.15272,34.87006,801880.69106,-343837.11802,0.00000,0.00000,11.88853,136.27583,0.00000,2.11481,21.03842,0.01830,10.44616,14.15929,6.82049,3.86020,22.36273,0.56299,-2.69916,-0.80628,-9.67788,0.00111,0.00391,0.00001,0.00074,0.00259,0.00000,3.18026,47.00180,0.00000,0.02154,0.51669,0.00000,-1.30535,0.00000,-23.74377,41.68920,67.14728,35.00013,37.44144,57.90617,0.00000,42.19691,57.90617,31.38471,98464.96875,99549.03906,96351.62500,288.63736,292.01810,287.60645,0.01090,0.01363,0.01056,288.08649,291.60675,287.35349,-3.34841,5.70074,-9.57060,6.04541,12.35306,-2.12408,175.69507,432.42377,133.87202,744.26727,1748.38208,404.30292,38.06945,164.46320,0.00000,30.77777,145.34581,0.00000,78.18938,1327.66284,0.00000,-102.75025,0.00000,-570.28168,-83.49102,0.00000,-474.39258,12.63215,22.11939,-0.71947,-1.89396,9.58655,-10.96474,28.45125,40.33997,0.89035,28.86411,39.36270,-1.33312,14.69506,20.33626,9.12987,7.08444,12.78195,1.07628,-99.74406,388.12338,-601.07916,15.92793,333.72800,-351.31442,98250.35156,99264.82031,96038.43750,288.75162,291.36758,287.71295,0.01104,0.01307,0.01067,288.23578,290.88391,287.55396,-5.50991,-1.84374,-9.70251,5.86611,12.17949,-1.52101,1167,0.62765,53.93711,41.98971,-1.22899,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_12_006_00,d01_REFL_COM_20110427-0000_12_12_006,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 12:00:00,12,12,1,-90.16070,35.42172,974385.40851,-263690.59054,0.00000,0.00000,1.57738,44.46479,0.00000,0.70619,10.41444,0.02304,9.23372,14.06134,6.07322,1.64520,12.31175,0.31813,-1.57936,-0.45051,-7.53346,0.00050,0.00222,0.00000,0.00043,0.00169,0.00000,0.44742,27.51886,0.00000,0.01180,0.29323,0.00000,-0.39701,0.00000,-7.97392,39.07684,64.97917,35.00198,36.01535,45.75228,0.00000,38.99798,48.79324,28.03086,99047.97656,99718.08594,98011.83594,287.84763,291.78729,286.91180,0.01022,0.01363,0.00959,287.18454,291.67581,286.12845,-3.34433,0.49934,-8.26671,6.71304,12.79693,1.49878,190.54314,383.99585,130.62474,626.55518,1153.03955,395.51532,10.73645,137.57634,0.00000,12.96702,111.28864,0.00000,56.69016,1130.07422,0.00000,-57.76602,0.00000,-506.94177,-89.46497,0.00000,-436.84857,6.94977,20.84244,-0.49476,1.57507,8.74574,-11.51079,25.73562,42.32628,2.44039,29.93337,42.53301,-3.85649,12.61131,16.13470,8.61560,3.54014,11.96490,-0.21418,69.76974,296.60989,-393.23508,98.31793,206.91132,-159.61267,98884.10938,99608.65625,98043.44531,287.76617,291.65945,286.46439,0.01018,0.01350,0.00954,287.09012,291.50970,286.00430,-4.07498,0.66657,-11.20396,5.52403,8.81087,-0.15848,2018,0.51871,77.93165,66.62749,0.76361,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_14_007_00,d01_REFL_COM_20110427-0000_12_14_007,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 12:00:00,12,12,1,-91.25200,34.16598,891569.58240,-412971.66735,0.00000,0.00000,5.37871,18.41774,0.03652,3.10698,6.01704,0.77543,10.55306,13.19278,8.37492,6.37998,16.79143,1.70567,-3.54317,-1.38135,-5.49539,0.00090,0.00280,0.00023,0.00072,0.00137,0.00013,1.95467,11.08118,0.00000,0.05545,0.27413,0.00000,-5.71665,-1.03504,-19.60820,40.96470,55.61983,35.03152,35.39472,46.82550,0.00000,42.78090,47.63323,34.76850,99352.56250,99628.08594,99067.49219,288.89157,291.22827,288.49661,0.01097,0.01282,0.01067,288.32346,290.74661,287.88525,-4.91903,-1.35373,-6.64792,5.45012,8.42497,2.68365,182.78075,309.07333,126.85840,578.70496,876.18439,416.47968,6.56317,63.99843,0.00000,4.14339,59.96661,0.00000,16.51659,538.80676,0.00000,-1.74669,0.00000,-66.08675,-4.20378,0.00000,-55.77680,9.32955,11.82461,4.77786,-11.40368,-7.00038,-15.01128,23.95387,36.24244,-0.88282,28.80286,42.69232,-0.76699,13.95944,19.14800,8.92947,4.76433,8.36118,1.51878,-427.76358,-23.80017,-596.69885,-194.87167,-72.59258,-387.04135,99342.76562,99717.47656,98945.08594,288.77219,291.24097,288.35846,0.01099,0.01295,0.01074,288.34402,290.88620,287.98181,-3.47082,0.31780,-6.97526,5.00325,10.87938,0.37745,125,0.92266,25.36713,9.78178,-1.40976,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_14_007_01,d01_REFL_COM_20110427-0000_12_14_007,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 13:00:00,13,13,2,-90.99788,34.63551,909005.03664,-358775.20136,18000.00000,51000.00000,17.39699,34.29647,4.90497,3.47656,6.70944,0.96737,8.81701,9.78029,8.08986,7.41573,13.36217,2.76924,-3.77063,-1.65857,-6.35097,0.00038,0.00083,0.00014,0.00063,0.00112,0.00009,5.78136,13.97176,2.12427,0.00909,0.03826,0.00000,-2.34269,-0.02482,-6.46248,45.13425,58.38944,35.03451,38.71950,45.75368,24.53166,43.06557,46.13584,38.57228,99442.50781,99674.83594,99261.07031,288.49442,288.69070,288.25589,0.01066,0.01077,0.01057,287.89755,288.06879,287.75034,-1.95537,1.05376,-4.78602,4.41108,7.08085,1.93840,159.50955,180.81754,136.35159,596.68414,715.26617,497.87192,1.13621,2.95843,0.28026,0.00000,0.00000,0.00000,182.11983,513.26080,0.00000,-0.11813,0.00000,-0.25627,0.00000,0.00000,0.00000,7.24195,8.74831,5.75543,-9.34858,-7.57334,-11.18911,29.31018,35.77193,25.49362,27.84319,32.13449,24.67727,13.20438,14.51306,11.31791,7.99093,9.03869,6.66903,-496.54846,-234.17050,-632.66412,-189.95433,-135.43802,-270.95618,99290.10938,99382.39062,99212.19531,288.59033,288.81622,288.41306,0.01077,0.01091,0.01067,288.02744,288.22232,287.89905,-5.22753,-3.83932,-6.44221,5.77609,7.84078,3.87311,89,0.93056,17.81929,6.52418,-1.26402,0,0,0,0,0,0
d01_REFL_COM_20110427-0000_12_14_007_02,d01_REFL_COM_20110427-0000_12_14_007,NCARSTORM,d01,2011-04-27 00:00:00,2011-04-27 14:00:00,14,14,3,-90.61262,34.72784,942701.16256,-344693.87618,30000.00000,18000.00000,13.89047,45.20265,2.08723,4.45071,8.08253,1.51117,8.16250,10.33598,6.39050,6.21833,10.42041,2.42341,-3.77767,-2.70562,-6.30927,0.00065,0.00106,0.00027,0.00054,0.00126,0.00017,4.14396,9.84953,0.39827,0.03056,0.17645,0.00000,-2.95012,0.00000,-9.31725,42.32787,56.98909,35.04689,31.20635,45.28050,16.06110,42.73938,46.23689,36.72977,99327.47656,99791.27344,98740.94531,288.34879,290.80072,288.01678,0.01065,0.01239,0.01051,287.85565,290.25146,287.60437,-4.91472,-0.23561,-8.29512,3.79543,6.41959,1.33258,156.47508,182.20551,143.25871,550.53595,703.13416,405.86652,6.20146,54.30395,0.89743,3.03568,39.74059,0.00000,222.31149,565.13293,12.72420,-4.72625,0.00000,-66.49330,-4.92501,0.00000,-73.19403,4.73955,6.01268,3.07300,-8.17965,-3.47993,-10.56827,31.33858,42.67131,17.42297,34.78376,40.34260,26.37541,11.23083,15.03148,7.87386,7.67721,9.57716,1.71263,-308.91553,-107.24858,-449.70218,-148.86688,-27.26857,-236.33679,99360.56250,99726.50781,98961.29688,288.62598,290.97739,288.12357,0.01070,0.01260,0.01045,287.93335,290.47705,287.57697,-4.15155,0.48600,-7.07637,4.57426,6.53899,2.41276,69,0.55219,10.54021,8.78754,1.36276,0,0,0,0,0,0
