Step_ID,Track_ID,Ensemble_Name,Ensemble_Member,Run_Date,Valid_Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,Centroid_X,Centroid_Y,Storm_Motion_U,Storm_Motion_V,REFL_1KM_AGL_mean,REFL_1KM_AGL_max,REFL_1KM_AGL_min,U10_mean,U10_max,U10_min,V10_mean,V10_max,V10_min,MLCAPE-potential_mean,MLCAPE-potential_max,MLCAPE-potential_min,area,eccentricity,major_axis_length,minor_axis_length,orientation,Matched,Max_Hail_Size,Num_Matches,Shape,Location,Scale
d01_REFL_COM_20110428-0000_28_28_241_00,d01_REFL_COM_20110428-0000_28_28_241,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 04:00:00+00:00,28,4,1,-78.75766,31.96780,2077058.33511,-449134.92254,-36000.00000,-75000.00000,41.22895,51.45604,25.93367,5.98119,12.01152,-0.54639,-1.22561,11.38803,-7.05163,435.51804,1236.56055,0.00000,285,0.88077,31.73457,15.02797,-0.34030,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_28_28_242_00,d01_REFL_COM_20110428-0000_28_28_242,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 04:00:00+00:00,28,4,1,-78.36877,32.08080,2109528.12444,-427989.95859,-6000.00000,-27000.00000,41.23774,51.77691,0.00000,3.36895,7.63450,1.34476,-2.21757,2.91985,-6.09290,575.08649,950.87012,77.29610,59,0.68954,10.28855,7.45149,1.05180,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_28_28_243_00,d01_REFL_COM_20110428-0000_28_28_243,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 04:00:00+00:00,28,4,1,-75.78479,34.97835,2256440.27558,-55665.92365,51000.00000,72000.00000,39.84841,52.20714,0.00000,5.97870,12.03667,-0.79256,10.54953,15.85783,3.28638,865.46625,1344.56531,222.55138,409,0.90083,35.85550,15.56718,0.04037,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_28_28_244_00,d01_REFL_COM_20110428-0000_28_28_244,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 04:00:00+00:00,28,4,1,-74.84855,35.59841,2318461.90130,33765.42046,30000.00000,-21000.00000,44.00061,52.23823,30.53314,-0.11818,4.36197,-3.02426,9.65805,12.42998,4.52444,921.29126,1050.38770,755.60400,58,0.73338,10.68171,7.26162,1.22222,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_28_29_245_00,d01_REFL_COM_20110428-0000_28_29_245,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 04:00:00+00:00,28,4,1,-72.08738,38.55493,2453147.91633,417941.95929,54000.00000,84000.00000,38.30283,50.15458,0.00000,3.76317,10.22778,0.13691,9.77735,14.92802,4.89306,142.04803,432.22437,0.00000,610,0.82735,40.86220,22.95158,0.61724,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_28_29_245_01,d01_REFL_COM_20110428-0000_28_29_245,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,2,-72.41676,37.64743,2457141.10645,313856.86749,9000.00000,-81000.00000,38.27215,50.86621,0.00000,3.27805,9.03757,-1.16898,8.59344,12.96368,4.59490,278.25708,579.41711,0.00000,302,0.85489,34.17473,17.73005,0.08717,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_28_28_246_00,d01_REFL_COM_20110428-0000_28_28_246,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 04:00:00+00:00,28,4,1,-69.36348,40.37564,2606677.81338,683712.91509,27000.00000,-9000.00000,40.12849,49.98492,16.19337,0.97671,1.85657,-0.14701,10.77546,12.45881,9.37960,86.36594,124.68056,39.30232,52,0.81199,10.87398,6.34690,0.88321,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_29_247_00,d01_REFL_COM_20110428-0000_29_29_247,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-85.67409,26.40876,1543304.60642,-1196813.95516,18000.00000,0.00000,40.43386,51.93272,4.63594,0.28634,4.01198,-2.29732,-9.69603,-6.37890,-11.56231,1922.57361,2469.11230,1535.43481,50,0.59081,9.02284,7.27975,1.09805,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_29_248_00,d01_REFL_COM_20110428-0000_29_29_248,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-85.38381,26.38201,1572767.22806,-1194812.52988,-6000.00000,-18000.00000,41.34575,51.21169,24.88398,-0.67845,2.58820,-4.28263,-9.18663,-3.55554,-11.16996,2531.37036,2651.74341,2454.88184,24,0.55596,6.05530,5.03322,-0.78540,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_30_249_00,d01_REFL_COM_20110428-0000_29_30_249,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-80.27085,26.65656,2072851.71323,-1061764.61669,6000.00000,0.00000,43.29148,51.69903,26.04533,-0.34706,2.86809,-3.22334,1.38390,4.38900,-1.66200,1446.49146,1832.33887,743.42108,60,0.80651,11.75722,6.95118,0.78896,0,0,0,0,0,0
